sample_id,mass_loaded_kg,grade_pct,friction_mu,visibility_m,comm_confidence,curve_radius_m,v_safe_kmh,v_stop_kmh,v_retarder_kmh,s_stop_m,h_safe_m,active_constraint,is_physically_safe
283,172917.32512692048,3.4757152423898208,0.5784074862764053,34.92102760192481,0.9271778194794527,35.0,20.0,39.678637520682734,125.99999988298863,29.92102760192482,34.92102760192482,SITE_SPEED_LIMIT,True
284,163466.09803564314,1.1982900201764635,0.30700922457403856,48.8374082882607,0.7371802250072431,inf,20.0,48.34377978915896,150.0,43.837408288260704,48.837408288260704,SITE_SPEED_LIMIT,True
285,171065.4884998959,5.209579772720422,0.3311935512406058,33.06135596012419,0.7552704204968079,35.0,20.0,35.89805331515077,93.78753919567912,28.06135596012419,33.06135596012419,SITE_SPEED_LIMIT,True
286,165708.58456819953,6.084864126597913,0.3557564072166431,27.807729431921718,0.06310903307915017,inf,20.0,29.275995526160525,68.70885466653857,22.80772943192172,27.80772943192172,SITE_SPEED_LIMIT,True
287,159647.028308822,3.6013640747151907,0.33739156460621256,8.943923604372735,0.5538022407123763,100.0,9.007448994836983,9.007448994836983,125.99999988298863,3.9439236043727357,8.943923604372735,STOPPING_DISTANCE,True
288,160551.26949106716,8.252861082328968,0.3384774038204466,17.586659231216565,0.8733366617238478,50.0,20.0,21.113347658362088,43.362655470930044,12.586659231216565,17.586659231216565,SITE_SPEED_LIMIT,True
289,164969.64544230053,9.921580148233126,0.3729786800250675,43.31412309852931,0.9305952146439163,50.0,20.0,42.156938667891055,34.061736333332966,38.31412309852931,43.31412309852931,SITE_SPEED_LIMIT,True
290,169192.45387225822,5.397326187599428,0.536006332243167,33.257752374768614,0.5324811925594262,50.0,20.0,35.805516699710395,86.46100670021025,28.25775237476861,33.257752374768614,SITE_SPEED_LIMIT,True
291,167842.20503128078,3.046791390980408,0.23059603575303228,8.641367737306348,0.17352451498650867,50.0,7.162927750237139,7.162927750237139,125.99999988298863,3.641367737306347,8.641367737306346,STOPPING_DISTANCE,True
292,167997.97056640746,2.2361443449631127,0.5005645001257972,48.079529955256426,0.9327307404762548,50.0,20.0,50.194520355601426,125.99999988298863,43.07952995525642,48.07952995525642,SITE_SPEED_LIMIT,True
293,164874.8652062743,6.062529377509774,0.36119351954114437,39.416441040634794,0.5025660764634424,35.0,20.0,40.050061332492994,69.14888949025423,34.4164410406348,39.4164410406348,SITE_SPEED_LIMIT,True
294,169088.83149600142,8.252007674155681,0.3426166688938462,34.98380986257679,0.4782340230480723,inf,20.0,35.16605162370211,43.36877071905882,29.98380986257679,34.98380986257679,SITE_SPEED_LIMIT,True
295,167538.7883515575,4.32497878330132,0.2512283725680488,19.03172598883668,0.4395116886329101,inf,20.0,20.148937617804084,125.99999988298863,14.031725988836676,19.031725988836676,SITE_SPEED_LIMIT,True
296,165269.94209222897,8.514486375512654,0.15353756192265144,5.014962775422023,0.602553163842865,100.0,0.046569478020485076,0.046569478020485076,41.5691410234943,0.014962775422023055,5.014962775422023,STOPPING_DISTANCE,True
297,163932.78564534895,0.5816379550547579,0.3202231963487283,49.76898427263952,0.6950352288585532,35.0,20.0,49.993039889941166,150.0,44.76898427263953,49.76898427263953,SITE_SPEED_LIMIT,True
298,172453.63068424977,4.303371775089212,0.16492596286741634,12.679914134749929,0.7826960407441492,50.0,12.076517788961294,12.076517788961294,125.99999988298863,7.679914134749927,12.679914134749927,STOPPING_DISTANCE,True
299,166512.24857180062,0.6229179813006269,0.6488438988485419,27.923995766740536,0.8139702695060188,100.0,20.0,34.20487051613928,150.0,22.92399576674054,27.92399576674054,SITE_SPEED_LIMIT,True
300,161860.35756623026,2.2080262978563914,0.28114473451233124,12.818866804803253,0.8480158852494014,50.0,15.478530691128459,15.478530691128459,125.99999988298863,7.818866804803255,12.818866804803255,STOPPING_DISTANCE,True
301,158165.6065079229,3.677593508772896,0.5896382634484061,23.635838863801716,0.733614380561402,50.0,20.0,28.67214393988288,125.99999988298863,18.635838863801716,23.635838863801716,SITE_SPEED_LIMIT,True
302,163876.17299053658,9.63822275482351,0.17676074725589774,16.186111597172392,0.4185806216239353,50.0,12.698790333546023,12.698790333546023,35.34047798786312,11.186111597172392,16.186111597172392,STOPPING_DISTANCE,True
303,169315.50113085317,1.3710970572899905,0.37532065520603314,29.088955915366626,0.012120774643893273,50.0,20.0,31.659798723883604,150.0,24.088955915366626,29.088955915366626,SITE_SPEED_LIMIT,True
304,161017.79909470212,6.292988060107362,0.16292333596881722,13.948532499888316,0.042633209287032736,35.0,11.404708526035977,11.404708526035977,64.8995324886963,8.948532499888316,13.948532499888316,STOPPING_DISTANCE,True
305,165597.90184207077,4.543773345599609,0.3343289032744856,42.99606872328272,0.4882411370217782,inf,20.0,42.69234980612446,125.99999988298863,37.99606872328272,42.99606872328272,SITE_SPEED_LIMIT,True
306,160134.6552955922,8.646603921404177,0.2803421295821936,15.956508578219026,0.8106859279862663,35.0,17.4560780005177,17.4560780005177,40.72084183473141,10.956508578219022,15.956508578219022,STOPPING_DISTANCE,True
307,160625.8980996194,7.850165438370569,0.6343671402763749,45.14381100231055,0.7869033862552951,35.0,20.0,44.11808376748779,46.4641950719431,40.14381100231055,45.14381100231055,SITE_SPEED_LIMIT,True
308,153618.13245704,9.428311414132617,0.326745900803318,41.399755773634766,0.2793677139347164,50.0,20.0,37.260630407568016,36.353520524315556,36.399755773634766,41.399755773634766,SITE_SPEED_LIMIT,True
309,175786.5410663275,6.593539222057827,0.5228343887585225,45.280298331794135,0.6139335847600618,inf,20.0,44.27262133264464,60.16983352337032,40.28029833179413,45.28029833179413,SITE_SPEED_LIMIT,True
310,161971.4253849833,4.506196567297579,0.33699271796719593,44.71067482052449,0.9882752710001314,100.0,20.0,46.18005591656166,125.99999988298863,39.71067482052449,44.71067482052449,SITE_SPEED_LIMIT,True
311,163855.08569254878,0.8479201604580322,0.32522951759953567,37.2345524628207,0.0712567277652586,inf,20.0,38.29936530066115,150.0,32.2345524628207,37.2345524628207,SITE_SPEED_LIMIT,True
312,165450.21418826643,0.3557086703554835,0.43565833101896934,27.886068025141032,0.46194693667095577,inf,20.0,32.707966360830156,150.0,22.886068025141036,27.886068025141036,SITE_SPEED_LIMIT,True
313,171002.0695397221,6.613706110704144,0.18482186706681686,13.333800554036056,0.09839564971339732,50.0,11.465467121218758,11.465467121218758,59.87978293541819,8.333800554036054,13.333800554036054,STOPPING_DISTANCE,True
314,161715.52860514302,8.305344564048399,0.2348593771769776,8.092077463322049,0.08261766345926869,inf,5.819476973167752,5.819476973167752,42.990018961317844,3.092077463322048,8.092077463322049,STOPPING_DISTANCE,True
315,168035.6555039181,3.8193963965289592,0.17427728363188127,14.25592679879998,0.6150129680388666,50.0,13.791339265091347,13.791339265091347,125.99999988298863,9.25592679879998,14.25592679879998,STOPPING_DISTANCE,True
316,171555.79443159053,0.6925430628585993,0.4673893531015733,48.19219331341681,0.895814597371882,50.0,20.0,51.00503738789597,150.0,43.19219331341681,48.19219331341681,SITE_SPEED_LIMIT,True
317,161782.4088480993,9.799703293588507,0.5038479303725363,32.08467153363449,0.7480731794295321,inf,20.0,33.68157930941291,34.5998821470514,27.08467153363449,32.08467153363449,SITE_SPEED_LIMIT,True
318,169639.2006404062,6.1649972689508346,0.1587471251759939,12.048729663821373,0.11080796217980704,50.0,9.7145955746218,9.7145955746218,67.18231405902652,7.048729663821371,12.048729663821371,STOPPING_DISTANCE,True
319,162026.11872722168,4.32076882944196,0.5145288538730839,24.77322453625035,0.9430758377447076,50.0,20.0,30.43020153464063,125.99999988298863,19.773224536250346,24.773224536250346,SITE_SPEED_LIMIT,True
320,158593.51163261573,9.28317532848577,0.4736167435379603,35.41920240138599,0.012714889986893518,35.0,20.0,33.83904655992755,37.08975628752262,30.41920240138599,35.41920240138599,SITE_SPEED_LIMIT,True
321,169302.36744179873,8.61369996363436,0.6216242867738441,43.09314524106251,0.2522410201733616,35.0,20.0,40.269510325018636,40.92872750792654,38.0931452410625,43.0931452410625,SITE_SPEED_LIMIT,True
322,162084.6128071553,2.2106337145372845,0.5618671670926492,49.027877546026815,0.5578132255110699,100.0,20.0,49.085407539182135,125.99999988298863,44.027877546026815,49.027877546026815,SITE_SPEED_LIMIT,True
323,159805.9908599872,5.450269188969383,0.6280858232739917,49.31013827860287,0.04317373579701167,50.0,20.0,45.23924518189946,84.66995815034953,44.31013827860287,49.31013827860287,SITE_SPEED_LIMIT,True
324,167514.50202457068,1.0794371464646435,0.33215481069851566,35.8384107252143,0.9651297421269965,100.0,20.0,41.30392117837064,150.0,30.838410725214302,35.8384107252143,SITE_SPEED_LIMIT,True
325,171191.41535716818,7.328015447662506,0.5066216916605706,29.40067424713317,0.50836054691628,100.0,20.0,31.769932525829844,51.26221650715918,24.400674247133182,29.400674247133182,SITE_SPEED_LIMIT,True
326,165106.35788368032,1.0593071255849296,0.1687513841291113,11.820621721445312,0.5771727832875501,35.0,11.714150718626838,11.714150718626838,150.0,6.82062172144531,11.82062172144531,STOPPING_DISTANCE,True
327,161888.109025046,4.6155747441978985,0.19933577290432458,5.419922892219199,0.7264617151130048,35.0,1.267429248328609,1.267429248328609,125.99999988298863,0.41992289221919854,5.419922892219199,STOPPING_DISTANCE,True
328,167390.44998313728,2.779020972488678,0.32596329718838774,13.727924027049868,0.6575603127780231,35.0,16.752697068050516,16.752697068050516,125.99999988298863,8.727924027049868,13.727924027049868,STOPPING_DISTANCE,True
329,173349.52252175703,6.159854502601791,0.22107691373714788,13.461113057693726,0.7837917844853972,inf,13.901332875409274,13.901332875409274,67.27792147379368,8.461113057693726,13.461113057693726,STOPPING_DISTANCE,True
